Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-10-18,5,5.09,4.92,5.02,5.02,17833500,211
2021-10-19,5.04,5.55,4.99,5.32,5.32,45478200,212
2021-10-20,5.39,6.31,5.32,6.09,6.09,126023800,213
2021-10-21,5.995,6.073,5.695,5.82,5.82,54690300,214
2021-10-22,5.6,5.67,5.17,5.2,5.2,41141200,215
2021-10-25,5.25,5.63,5.19,5.5,5.5,23177700,216
2021-10-26,5.465,5.56,5.21,5.24,5.24,25019300,217
2021-10-27,5.28,5.4,4.95,4.96,4.96,28768200,218
2021-10-28,5.01,5.29,4.95,5.25,5.25,23621400,219
2021-10-29,5.154,5.235,5.03,5.1,5.1,20742400,220
2021-11-01,5.12,5.5,5.1,5.45,5.45,23633100,221
2021-11-02,5.44,5.45,5.08,5.21,5.21,23724600,222
2021-11-03,5.22,5.36,5.11,5.21,5.21,23392000,223
2021-11-04,5.22,5.301,5.05,5.07,5.07,20795000,224
2021-11-05,5.1,5.1,4.88,4.93,4.93,29404900,225
2021-11-08,4.975,5.34,4.96,5.21,5.21,34869200,226
2021-11-09,5.28,5.595,5.27,5.49,5.49,40530500,227
2021-11-10,5.47,5.53,5.01,5.1,5.1,58784100,228
2021-11-11,5.07,5.97,5.06,5.47,5.47,88308800,229
2021-11-12,5.56,5.57,5.28,5.41,5.41,21494000,230
2021-11-15,5.36,5.49,5.14,5.18,5.18,20290900,231
2021-11-16,5.14,5.142,4.93,5.07,5.07,24169400,232
2021-11-17,5.02,5.03,4.75,4.77,4.77,34466400,233
2021-11-18,4.75,4.76,4.34,4.39,4.39,38840500,234
2021-11-19,4.41,4.49,4.25,4.25,4.25,20920900,235
2021-11-22,4.31,4.32,3.97,4.1,4.1,37460900,236
2021-11-23,4.075,4.19,3.9,3.97,3.97,28789900,237
2021-11-24,3.7,4.075,3.57,3.97,3.97,41562500,238
2021-11-26,3.8,3.98,3.8,3.92,3.92,14397500,239
2021-11-29,3.93,3.99,3.82,3.96,3.96,19943800,240
2021-11-30,3.86,3.95,3.55,3.73,3.73,41486400,241
2021-12-01,3.76,3.82,3.35,3.35,3.35,35483400,242
2021-12-02,3.33,3.5,3.24,3.36,3.36,24196200,243
2021-12-03,3.42,3.42,3.15,3.28,3.28,32838800,244
2021-12-06,3.23,3.7,3.11,3.61,3.61,37665000,245
2021-12-07,3.605,3.85,3.6,3.74,3.74,19121200,246
